log_name,tag,hidden_size,hidden_layers,epochs,batch_size,train_loss,train_acc,val_loss,val_acc
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,17,32,0.5015977560376365,0.8155238032341003,0.570452812507039,0.8059999942779541
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,18,32,0.4967685426189785,0.8191111087799072,0.5747547105153402,0.8029999732971191
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,19,32,0.496834964184534,0.8168571591377258,0.5928797621386391,0.7946666479110718
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,20,32,0.4910780918598175,0.8186349272727966,0.5784581632841201,0.8003809452056885
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,1,32,1.0060303011054084,0.6783491969108582,0.7674480938457308,0.7206666469573975
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,2,32,0.6868027050835745,0.7457460165023804,0.6704720943087623,0.7483809590339661
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,3,32,0.6334915148152246,0.768063485622406,0.6603963510763078,0.7561904788017273
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,4,32,0.6020000723203023,0.7781904935836792,0.5690781715029762,0.7919047474861145
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,5,32,0.561943892255662,0.7923492193222046,0.6109714242276691,0.7849047780036926
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,6,32,0.5447602117477901,0.7993015646934509,0.5832329983711243,0.7933809757232666
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,7,32,0.5320870779052613,0.8078095316886902,0.614694521745046,0.7815238237380981
"2024-05-13_13:45:43_bs=32,e=20,hl=2,hs=64",depth_and_size_experimentation,64,2,8,32,0.5286926412544554,0.8069523572921753,0.5504102798643566,0.8084762096405029
